id	text	time	word_count	book	genre
00138	辞“大义”	1927	725	而已集	essay
00139	反“漫谈”	1927	1164	而已集	essay
00140	忧“天乳”	1927	1088	而已集	essay
00141	谈“激烈”	1927	2304	而已集	essay
00142	革“首领”	1927	1943	而已集	essay
00143	革命文学	1927	843	而已集	essay
00144	扣丝杂感	1927	3899	而已集	essay
00145	“公理”之所在	1927	601	而已集	essay
00146	可恶罪	1927	289	而已集	essay
00147	“意表之外”	1927	535	而已集	essay
00148	新时代的放债法	1927	738	而已集	essay
00149	魏晋风度及文章与药及酒之关系	1927	9490	而已集	essay
00150	再谈香港	1927	3393	而已集	essay
00151	小杂感	1927	998	而已集	essay
00152	《尘影》题辞	1927	449	而已集	essay
00153	当陶元庆君的绘画展览时	1927	868	而已集	essay
00154	卢梭和胃口	1928	1564	而已集	essay
00155	文学和出汗	1928	696	而已集	essay
00156	文艺和革命	1928	474	而已集	essay
00157	谈所谓“大内档案”	1928	3782	而已集	essay
00158	拟豫言	1928	868	而已集	essay
